Country;year;ppm
Hong Kong;1971;9561
Hungary;1971;67782
Iceland;1971;2045
India;1971;231972
Indonesia;1971;31049
Iran;1971;86585
Iraq;1971;32143
Ireland;1971;23396
Israel;1971;14875
Italy;1971;326541
Jamaica;1971;5898
Japan;1971;825297
Jordan;1971;1551
Kazakhstan;1971;90443
Kenya;1971;4314
Kiribati;1971;7
Kuwait;1971;47624
Kyrgyzstan;1971;8638
Latvia;1971;34522
Lebanon;1971;5574
Lesotho;1971;78
Liberia;1971;1037
Lithuania;1971;86287
Luxembourg;1971;17138
Madagascar;1971;648
Malawi;1971;280
Malaysia;1971;14368
Mali;1971;223
Malta;1971;691
Martinique;1971;498
Mauritania;1971;351
Mauritius;1971;423
Mexico;1971;116504
Mongolia;1971;2094
Montserrat;1971;11
Morocco;1971;6844
Mozambique;1971;3211
Namibia;1971;324
Nepal;1971;258
Netherlands;1971;136211
New Caledonia;1971;886
New Zealand;1971;14647
Nicaragua;1971;1616
Niger;1971;290
Nigeria;1971;31301
Norway;1971;35392
Oman;1971;6562
Pakistan;1971;18737
Panama;1971;2608
Papua New Guinea;1971;850
Paraguay;1971;671
Peru;1971;17944
Philippines;1971;25343
Poland;1971;327817
Portugal;1971;17717
Puerto Rico;1971;868
Qatar;1971;9848
Reunion;1971;317
Romania;1971;125161
Russia;1971;1457680
Rwanda;1971;82
Samoa;1971;35
Saudi Arabia;1971;55391
Senegal;1971;1349
Seychelles;1971;124
Sierra Leone;1971;392
Singapore;1971;6641
Slovakia;1971;43511
Slovenia;1971;7857
Solomon Islands;1971;41
Somalia;1971;468
South Africa;1971;199423
Spain;1971;136856
Sri Lanka;1971;3169
Sudan;1971;3416
Suriname;1971;1717
Swaziland;1971;270
Sweden;1971;88087
Switzerland;1971;42984
Taiwan;1971;35984
Tajikistan;1971;2709
Tanzania;1971;1554
Thailand;1971;19172
Togo;1971;371
Tonga;1971;17
Tunisia;1971;4292
Turkey;1971;49268
Turkmenistan;1971;17322
Uganda;1971;449
Ukraine;1971;433768
United Arab Emirates;1971;25156
United Kingdom;1971;663651
United States;1971;4465866
Uruguay;1971;5402
Uzbekistan;1971;59786
Venezuela;1971;59002
Vietnam;1971;17645
Western Sahara;1971;87
Yemen;1971;1505
Zambia;1971;3815
Zimbabwe;1971;9211
Afghanistan;1972;1324
Albania;1972;5058
Algeria;1972;31069
American Samoa;1972;6
Angola;1972;9700
Argentina;1972;89271
Armenia;1972;4544
Aruba;1972;31
Australia;1972;164333
Austria;1972;57750
Azerbaijan;1972;19154
Bahamas;1972;4009
Bahrain;1972;3613
Bangladesh;1972;3289
Barbados;1972;599
Belarus;1972;72780
Belgium;1972;140937
Belize;1972;161
Benin;1972;470
Bhutan;1972;50
Bolivia;1972;3872
Botswana;1972;495
Brazil;1972;114061
Bulgaria;1972;70233
Burkina Faso;1972;259
Burundi;1972;100
Cambodia;1972;54
Cameroon;1972;1393
Canada;1972;380028
Cape Verde;1972;135
Cayman Islands;1972;82
Central African Republic;1972;143
Chad;1972;113
Chile;1972;28305
China;1972;1014377
Colombia;1972;28666
Comoros;1972;24
Congo;1972;2127
Costa Rica;1972;1618
Croatia;1972;19954
Cuba;1972;21074
Cyprus;1972;2690
Czech Republic;1972;184253
Denmark;1972;60241
Djibouti;1972;858
Dominica;1972;27
Dominican Republic;1972;5094
Ecuador;1972;4340
Egypt;1972;30200
El Salvador;1972;1838
Equatorial Guinea;1972;33
Eritrea;1972;157
Estonia;1972;48826
Ethiopia;1972;919
Fiji;1972;545
Finland;1972;45172
France;1972;493642
French Guiana;1972;290
French Polynesia;1972;108
Gabon;1972;964
Gambia;1972;83
Georgia;1972;44466
Germany;1972;1089291
Ghana;1972;2497
Greece;1972;36902
Greenland;1972;1
Grenada;1972;36
Guadeloupe;1972;382
Guam;1972;6
Guatemala;1972;2702
Guinea;1972;565
Guyana;1972;1322
Haiti;1972;522
Honduras;1972;1266
Hong Kong;1972;9860
Hungary;1972;69548
Iceland;1972;2260
India;1972;241650
Indonesia;1972;36374
Iran;1972;96749
Iraq;1972;32704
Ireland;1972;23041
Israel;1972;15648
Italy;1972;344448
Jamaica;1972;6464
Japan;1972;874186
Jordan;1972;1820
Kazakhstan;1972;97314
Kenya;1972;4564
Kiribati;1972;7
Kuwait;1972;49349
Kyrgyzstan;1972;9575
Latvia;1972;36652
Lebanon;1972;5989
Lesotho;1972;83
Liberia;1972;1098
Lithuania;1972;91170
Luxembourg;1972;16862
Madagascar;1972;676
Malawi;1972;299
Malaysia;1972;14368
Mali;1972;239
Malta;1972;866
Martinique;1972;577
Mauritania;1972;372
Mauritius;1972;456
Mexico;1972;128916
Mongolia;1972;1368
Montserrat;1972;14
Morocco;1972;7679
Mozambique;1972;2958
Namibia;1972;329
Nepal;1972;335
Netherlands;1972;151918
New Caledonia;1972;1032
New Zealand;1972;16838
Nicaragua;1972;1675
Niger;1972;309
Nigeria;1972;40331
Norway;1972;38254
Oman;1972;6570
Pakistan;1972;18688
Panama;1972;2792
Papua New Guinea;1972;918
Paraguay;1972;725
Peru;1972;17935
Philippines;1972;26414
Poland;1972;344967
Portugal;1972;18021
Puerto Rico;1972;913
Qatar;1972;11601
Reunion;1972;336
Romania;1972;129700
Russia;1972;1528692
Rwanda;1972;87
Samoa;1972;34
Saudi Arabia;1972;71181
Senegal;1972;1434
Seychelles;1972;128
Sierra Leone;1972;410
Singapore;1972;8007
Slovakia;1972;44262
Slovenia;1972;7963
Solomon Islands;1972;39
Somalia;1972;496
South Africa;1972;199072
Spain;1972;148996
Sri Lanka;1972;3787
Sudan;1972;3702
Suriname;1972;1905
Swaziland;1972;283
Sweden;1972;88352
Switzerland;1972;43680
Taiwan;1972;40552
Tajikistan;1972;2882
Tanzania;1972;1817
Thailand;1972;21411
Togo;1972;426
Tonga;1972;17
Tunisia;1972;4744
Turkey;1972;57238
Turkmenistan;1972;18476
Uganda;1972;453
Ukraine;1972;448127
United Arab Emirates;1972;27215
United Kingdom;1972;651214
United States;1972;4715808
Uruguay;1972;5859
Uzbekistan;1972;62850
Venezuela;1972;60093
Vietnam;1972;17203
Western Sahara;1972;90
Yemen;1972;1784
Zambia;1972;4225
Zimbabwe;1972;8833
Afghanistan;1973;1434
Albania;1973;4659
Algeria;1973;40176
American Samoa;1973;7
Angola;1973;9813
Argentina;1973;93049
Armenia;1973;5076
Aruba;1973;31
Australia;1973;173966
Austria;1973;61048
Azerbaijan;1973;21481
Bahamas;1973;4367
Bahrain;1973;4554
Bangladesh;1973;3853
Barbados;1973;671
Belarus;1973;78005
Belgium;1973;146375
Belize;1973;185
Benin;1973;485
Bhutan;1973;52
Bolivia;1973;3676
Botswana;1973;520
Brazil;1973;132691
Bulgaria;1973;71235
Burkina Faso;1973;262
Burundi;1973;101
Cambodia;1973;72
Cameroon;1973;1458
Canada;1973;398990
Cape Verde;1973;147
Cayman Islands;1973;86
Central African Republic;1973;153
Chad;1973;116
Chile;1973;28089
China;1973;1056803
Colombia;1973;29629
Comoros;1973;26
Congo;1973;2864
Costa Rica;1973;1837
Croatia;1973;20949
Cuba;1973;25129
Cyprus;1973;2807
Czech Republic;1973;182431
Denmark;1973;59294
Djibouti;1973;880
Dominica;1973;30
Dominican Republic;1973;5050
Ecuador;1973;5119
Egypt;1973;28332
El Salvador;1973;2033
Equatorial Guinea;1973;36
Eritrea;1973;166
Estonia;1973;49993
Ethiopia;1973;1021
Fiji;1973;594
Finland;1973;49260
France;1973;529859
French Guiana;1973;322
French Polynesia;1973;141
Gabon;1973;2756
Gambia;1973;89
Georgia;1973;46721
Germany;1973;1149339
Ghana;1973;2550
Greece;1973;39518
Greenland;1973;1
Grenada;1973;39
Guadeloupe;1973;422
Guam;1973;6
Guatemala;1973;2891
Guinea;1973;590
Guyana;1973;1374
Haiti;1973;549
Honduras;1973;1402
Hong Kong;1973;9947
Hungary;1973;74410
Iceland;1973;2602
India;1973;240490
Indonesia;1973;41044
Iran;1973;114997
Iraq;1973;34984
Ireland;1973;22619
Israel;1973;16733
Italy;1973;367039
Jamaica;1973;8433
Japan;1973;988154
Jordan;1973;2014
Kazakhstan;1973;111094
Kenya;1973;4858
Kiribati;1973;7
Kuwait;1973;45716
Kyrgyzstan;1973;10040
Latvia;1973;38842
Lebanon;1973;7479
Lesotho;1973;92
Liberia;1973;1144
Lithuania;1973;96598
Luxembourg;1973;18247
Madagascar;1973;727
Malawi;1973;324
Malaysia;1973;14926
Mali;1973;260
Malta;1973;832
Martinique;1973;628
Mauritania;1973;388
Mauritius;1973;463
Mexico;1973;139546
Mongolia;1973;1430
Montserrat;1973;15
Morocco;1973;9112
Mozambique;1973;3148
Namibia;1973;338
Nepal;1973;480
Netherlands;1973;158335
New Caledonia;1973;1533
New Zealand;1973;18345
Nicaragua;1973;1894
Niger;1973;322
Nigeria;1973;48482
Norway;1973;38833
Oman;1973;6604
Pakistan;1973;19861
Panama;1973;3123
Papua New Guinea;1973;1275
Paraguay;1973;799
Peru;1973;19066
Philippines;1973;30126
Poland;1973;359688
Portugal;1973;20166
Puerto Rico;1973;938
Qatar;1973;13400
Reunion;1973;356
Romania;1973;141879
Russia;1973;1615386
Rwanda;1973;89
Samoa;1973;35
Saudi Arabia;1973;95609
Senegal;1973;1549
Seychelles;1973;133
Sierra Leone;1973;421
Singapore;1973;8898
Slovakia;1973;45721
Slovenia;1973;9259
Solomon Islands;1973;42
Somalia;1973;531
South Africa;1973;215596
Spain;1973;162052
Sri Lanka;1973;3950
Sudan;1973;4782
Suriname;1973;2140
Swaziland;1973;299
Sweden;1973;90745
Switzerland;1973;47351
Taiwan;1973;45196
Tajikistan;1973;3052
Tanzania;1973;1897
Thailand;1973;24723
Togo;1973;371
Tonga;1973;16
Tunisia;1973;4774
Turkey;1973;62223
Turkmenistan;1973;19775
Uganda;1973;469
Ukraine;1973;465599
United Arab Emirates;1973;34407
United Kingdom;1973;683707
United States;1973;4903584
Uruguay;1973;5540
Uzbekistan;1973;66623
Venezuela;1973;68856
Vietnam;1973;19111
Western Sahara;1973;95
Yemen;1973;2204
Zambia;1973;4532
Zimbabwe;1973;10280
Afghanistan;1974;1989
Albania;1974;4875
Algeria;1974;35373
American Samoa;1974;7
Angola;1974;10032
Argentina;1974;93072
Armenia;1974;5592
Aruba;1974;31
Australia;1974;183437
Austria;1974;58455
Azerbaijan;1974;23776
Bahamas;1974;3577
Bahrain;1974;5365
Bangladesh;1974;4219
Barbados;1974;552
Belarus;1974;81424
Belgium;1974;145068
Belize;1974;160
Benin;1974;493
Bhutan;1974;53
Bolivia;1974;3596
Botswana;1974;516
Brazil;1974;142742
Bulgaria;1974;71972
Burkina Faso;1974;272
Burundi;1974;103
Cambodia;1974;60
Cameroon;1974;1443
Canada;1974;408154
Cape Verde;1974;154
Cayman Islands;1974;76
Central African Republic;1974;158
Chad;1974;122
Chile;1974;26871
China;1974;1073991
Colombia;1974;30712
Comoros;1974;27
Congo;1974;3244
Costa Rica;1974;1802
Croatia;1974;20474
Cuba;1974;26305
