Country;year;ppm
Bangladesh;1977;5526
Barbados;1977;697
Belarus;1977;100216
Belgium;1977;134918
Belize;1977;185
Benin;1977;435
Bhutan;1977;58
Bolivia;1977;4563
Botswana;1977;941
Brazil;1977;174994
Bulgaria;1977;80884
Burkina Faso;1977;305
Burundi;1977;115
Cambodia;1977;59
Cameroon;1977;2133
Canada;1977;425432
Cape Verde;1977;182
Cayman Islands;1977;87
Central African Republic;1977;178
Chad;1977;142
Chile;1977;23549
China;1977;1429415
Colombia;1977;37487
Comoros;1977;31
Congo;1977;2255
Costa Rica;1977;2568
Croatia;1977;20644
Cuba;1977;28841
Cyprus;1977;2820
Czech Republic;1977;188240
Denmark;1977;62470
Djibouti;1977;970
Dominica;1977;31
Dominican Republic;1977;6228
Ecuador;1977;9452
Egypt;1977;40541
El Salvador;1977;2442
Equatorial Guinea;1977;44
Eritrea;1977;160
Estonia;1977;52519
Ethiopia;1977;959
Fiji;1977;700
Finland;1977;51539
France;1977;498463
French Guiana;1977;334
French Polynesia;1977;147
Gabon;1977;4324
Gambia;1977;115
Georgia;1977;43357
Germany;1977;1099726
Ghana;1977;3074
Greece;1977;47917
Greenland;1977;2
Grenada;1977;40
Guadeloupe;1977;455
Guam;1977;6
Guatemala;1977;3751
Guinea;1977;683
Guyana;1977;1462
Haiti;1977;843
Honduras;1977;1692
Hong Kong;1977;15210
Hungary;1977;86434
Iceland;1977;2485
India;1977;299933
Indonesia;1977;67770
Iran;1977;152234
Iraq;1977;44588
Ireland;1977;25085
Israel;1977;18811
Italy;1977;370183
Jamaica;1977;7127
Japan;1977;993065
Jordan;1977;3026
Kazakhstan;1977;123813
Kenya;1977;5834
Kiribati;1977;10
Kuwait;1977;31206
Kyrgyzstan;1977;10047
Latvia;1977;43704
Lebanon;1977;5681
Lesotho;1977;115
Liberia;1977;1361
Lithuania;1977;101528
Luxembourg;1977;13619
Madagascar;1977;887
Malawi;1977;446
Malaysia;1977;20824
Mali;1977;318
Malta;1977;820
Martinique;1977;664
Mauritania;1977;463
Mauritius;1977;512
Mexico;1977;180021
Mongolia;1977;1500
Montserrat;1977;16
Morocco;1977;13114
Mozambique;1977;2562
Namibia;1977;361
Nepal;1977;383
Netherlands;1977;150442
New Caledonia;1977;1449
New Zealand;1977;20831
Nicaragua;1977;2819
Niger;1977;416
Nigeria;1977;51194
Norway;1977;39796
Oman;1977;25752
Pakistan;1977;23814
Panama;1977;3266
Papua New Guinea;1977;1287
Paraguay;1977;1300
Peru;1977;21131
Philippines;1977;35709
Poland;1977;425190
Portugal;1977;22916
Puerto Rico;1977;679
Qatar;1977;10520
Reunion;1977;417
Romania;1977;180445
Russia;1977;1951306
Rwanda;1977;105
Samoa;1977;42
Saudi Arabia;1977;111858
Senegal;1977;2020
Seychelles;1977;155
Sierra Leone;1977;487
Singapore;1977;11314
Slovakia;1977;50479
Slovenia;1977;11279
Solomon Islands;1977;51
Somalia;1977;651
South Africa;1977;249150
Spain;1977;190709
Sri Lanka;1977;3299
Sudan;1977;3550
Suriname;1977;2177
Swaziland;1977;512
Sweden;1977;88403
Switzerland;1977;42275
Taiwan;1977;61247
Tajikistan;1977;2336
Tanzania;1977;1607
Thailand;1977;30821
Togo;1977;465
Tonga;1977;18
Tunisia;1977;6465
Turkey;1977;85946
Turkmenistan;1977;12480
Uganda;1977;520
Ukraine;1977;523860
United Arab Emirates;1977;43832
United Kingdom;1977;635654
United States;1977;4989313
Uruguay;1977;5791
Uzbekistan;1977;44553
Venezuela;1977;72249
Vietnam;1977;14766
Western Sahara;1977;112
Yemen;1977;2592
Zambia;1977;4268
Zimbabwe;1977;8837
Afghanistan;1978;1395
Albania;1978;6430
Algeria;1978;51307
American Samoa;1978;7
Angola;1978;10556
Argentina;1978;99738
Armenia;1978;10367
Aruba;1978;341
Australia;1978;202995
Austria;1978;60789
Azerbaijan;1978;35275
Bahamas;1978;4434
Bahrain;1978;7013
Bangladesh;1978;5904
Barbados;1978;760
Belarus;1978;103275
Belgium;1978;139428
Belize;1978;171
Benin;1978;465
Bhutan;1978;61
Bolivia;1978;5145
Botswana;1978;1035
Brazil;1978;188613
Bulgaria;1978;86827
Burkina Faso;1978;314
Burundi;1978;120
Cambodia;1978;36
Cameroon;1978;2285
Canada;1978;428866
Cape Verde;1978;183
Cayman Islands;1978;76
Central African Republic;1978;181
Chad;1978;142
Chile;1978;24120
China;1978;1611899
Colombia;1978;38877
Comoros;1978;31
Congo;1978;2216
Costa Rica;1978;2770
Croatia;1978;20408
Cuba;1978;29265
Cyprus;1978;2935
Czech Republic;1978;185595
Denmark;1978;62420
Djibouti;1978;985
Dominica;1978;29
Dominican Republic;1978;6355
Ecuador;1978;10682
Egypt;1978;41086
El Salvador;1978;2619
Equatorial Guinea;1978;44
Eritrea;1978;174
Estonia;1978;51728
Ethiopia;1978;978
Fiji;1978;719
Finland;1978;57969
France;1978;516177
French Guiana;1978;378
French Polynesia;1978;135
Gabon;1978;4895
Gambia;1978;116
Georgia;1978;43005
Germany;1978;1137479
Ghana;1978;2987
Greece;1978;50565
Greenland;1978;2
Grenada;1978;37
Guadeloupe;1978;493
Guam;1978;6
Guatemala;1978;4157
Guinea;1978;699
Guyana;1978;1413
Haiti;1978;885
Honduras;1978;1706
Hong Kong;1978;16206
Hungary;1978;94185
Iceland;1978;2555
India;1978;295983
Indonesia;1978;78817
Iran;1978;147279
Iraq;1978;49404
Ireland;1978;24935
Israel;1978;20041
Italy;1978;378232
Jamaica;1978;7280
Japan;1978;993946
Jordan;1978;3606
Kazakhstan;1978;132313
Kenya;1978;5967
Kiribati;1978;9
Kuwait;1978;34095
Kyrgyzstan;1978;10400
Latvia;1978;45185
Lebanon;1978;6619
Lesotho;1978;116
Liberia;1978;1392
Lithuania;1978;105388
Luxembourg;1978;14881
Madagascar;1978;900
Malawi;1978;476
Malaysia;1978;22715
Mali;1978;317
Malta;1978;953
Martinique;1978;705
Mauritania;1978;477
Mauritius;1978;503
Mexico;1978;201280
Mongolia;1978;1838
Montserrat;1978;14
Morocco;1978;14071
Mozambique;1978;2245
Namibia;1978;366
Nepal;1978;364
Netherlands;1978;154661
New Caledonia;1978;1194
New Zealand;1978;19518
Nicaragua;1978;2550
Niger;1978;419
Nigeria;1978;54459
Norway;1978;38916
Oman;1978;21340
Pakistan;1978;25405
Panama;1978;3121
Papua New Guinea;1978;1128
Paraguay;1978;1563
Peru;1978;21115
Philippines;1978;36925
Poland;1978;441368
Portugal;1978;23801
Puerto Rico;1978;695
Qatar;1978;11359
Reunion;1978;410
Romania;1978;195407
Russia;1978;2011790
Rwanda;1978;106
Samoa;1978;45
Saudi Arabia;1978;121120
Senegal;1978;1980
Seychelles;1978;153
Sierra Leone;1978;491
Singapore;1978;12851
Slovakia;1978;56937
Slovenia;1978;11724
Solomon Islands;1978;53
Somalia;1978;657
South Africa;1978;224997
Spain;1978;188711
Sri Lanka;1978;3896
Sudan;1978;3229
Suriname;1978;2332
Swaziland;1978;558
Sweden;1978;82982
Switzerland;1978;43470
Taiwan;1978;69281
Tajikistan;1978;2389
Tanzania;1978;1683
Thailand;1978;34095
Togo;1978;509
Tonga;1978;20
Tunisia;1978;7194
Turkey;1978;84948
Turkmenistan;1978;13190
Uganda;1978;492
Ukraine;1978;523701
United Arab Emirates;1978;49906
United Kingdom;1978;628491
United States;1978;4998745
Uruguay;1978;5914
Uzbekistan;1978;46047
Venezuela;1978;77105
Vietnam;1978;14958
Western Sahara;1978;111
Yemen;1978;2858
Zambia;1978;4072
Zimbabwe;1978;8691
Afghanistan;1979;1460
Albania;1979;7561
Algeria;1979;53420
American Samoa;1979;7
Angola;1979;10520
Argentina;1979;105341
Armenia;1979;10905
Aruba;1979;391
Australia;1979;208683
Austria;1979;63234
Azerbaijan;1979;37038
Bahamas;1979;4241
Bahrain;1979;7487
Bangladesh;1979;6537
Barbados;1979;700
Belarus;1979;108688
Belgium;1979;148885
Belize;1979;174
Benin;1979;522
Bhutan;1979;62
Bolivia;1979;4849
Botswana;1979;1102
Brazil;1979;201097
Bulgaria;1979;90540
Burkina Faso;1979;374
Burundi;1979;135
Cambodia;1979;33
Cameroon;1979;2461
Canada;1979;444025
Cape Verde;1979;216
Cayman Islands;1979;76
Central African Republic;1979;197
Chad;1979;166
Chile;1979;25638
China;1979;1647649
Colombia;1979;39198
Comoros;1979;37
Congo;1979;2212
Costa Rica;1979;2776
Croatia;1979;22488
Cuba;1979;31468
Cyprus;1979;3122
Czech Republic;1979;195022
Denmark;1979;65885
Djibouti;1979;1379
Dominica;1979;28
Dominican Republic;1979;6712
Ecuador;1979;11400
Egypt;1979;44122
El Salvador;1979;2449
Equatorial Guinea;1979;51
Eritrea;1979;182
Estonia;1979;52219
Ethiopia;1979;1004
Fiji;1979;804
Finland;1979;57753
France;1979;523893
French Guiana;1979;337
French Polynesia;1979;147
Gabon;1979;4680
Gambia;1979;132
Georgia;1979;43019
Germany;1979;1187725
Ghana;1979;2646
Greece;1979;53455
Greenland;1979;2
Grenada;1979;36
Guadeloupe;1979;447
Guam;1979;7
Guatemala;1979;4638
Guinea;1979;883
Guyana;1979;1288
Haiti;1979;871
Honduras;1979;1808
Hong Kong;1979;15097
Hungary;1979;92904
Iceland;1979;2648
India;1979;318177
Indonesia;1979;85060
Iran;1979;138255
Iraq;1979;62707
Ireland;1979;29267
Israel;1979;20420
Italy;1979;394612
Jamaica;1979;7281
Japan;1979;1020337
Jordan;1979;3747
Kazakhstan;1979;127026
Kenya;1979;5924
Kiribati;1979;10
Kuwait;1979;41152
Kyrgyzstan;1979;10111
Latvia;1979;47268
Lebanon;1979;7505
Lesotho;1979;137
Liberia;1979;1759
Lithuania;1979;109295
Luxembourg;1979;14003
Madagascar;1979;1061
Malawi;1979;523
Malaysia;1979;25565
Mali;1979;358
Malta;1979;928
Martinique;1979;645
Mauritania;1979;590
Mauritius;1979;648
Mexico;1979;213976
Mongolia;1979;1821
Montserrat;1979;14
Morocco;1979;15264
Mozambique;1979;2127
Namibia;1979;373
Nepal;1979;531
Netherlands;1979;164461
New Caledonia;1979;1223
New Zealand;1979;17767
Nicaragua;1979;1646
Niger;1979;483
Nigeria;1979;75205
Norway;1979;41694
Oman;1979;19301
Pakistan;1979;27429
Panama;1979;3408
Papua New Guinea;1979;1223
Paraguay;1979;1496
Peru;1979;21958
Philippines;1979;39507
Poland;1979;432416
Portugal;1979;26572
Puerto Rico;1979;695
Qatar;1979;12213
Reunion;1979;497
Romania;1979;200404
Russia;1979;2047464
Rwanda;1979;128
Samoa;1979;51
Saudi Arabia;1979;144957
Senegal;1979;2184
Seychelles;1979;190
Sierra Leone;1979;626
Singapore;1979;13924
Slovakia;1979;57968
Slovenia;1979;12606
Solomon Islands;1979;62
Somalia;1979;781
South Africa;1979;232567
Spain;1979;200879
Sri Lanka;1979;4210
Sudan;1979;3330
Suriname;1979;2110
Swaziland;1979;600
Sweden;1979;85861
Switzerland;1979;42114
Taiwan;1979;73339
Tajikistan;1979;2467
Tanzania;1979;1770
Thailand;1979;35852
Togo;1979;565
Tonga;1979;21
Tunisia;1979;8512
Turkey;1979;78559
Turkmenistan;1979;13302
Uganda;1979;573
Ukraine;1979;536745
United Arab Emirates;1979;37193
United Kingdom;1979;669499
United States;1979;5038403
Uruguay;1979;6412
Uzbekistan;1979;46097
Venezuela;1979;87730
Vietnam;1979;15586
Western Sahara;1979;141
Yemen;1979;3075
Zambia;1979;3693
Zimbabwe;1979;8964
Afghanistan;1980;1960
Albania;1980;7659
Algeria;1980;53818
American Samoa;1980;7
Angola;1980;10589
Argentina;1980;103257
Armenia;1980;11934
Aruba;1980;406
Australia;1980;219222
Austria;1980;61312
Azerbaijan;1980;39490
Bahamas;1980;4036
Bahrain;1980;7592
Bangladesh;1980;7385
Barbados;1980;702
Belarus;1980;111728
Belgium;1980;137831
Belize;1980;170
Benin;1980;549
Bhutan;1980;65
Bolivia;1980;4883
Botswana;1980;817
Brazil;1980;199768
Bulgaria;1980;93535
Burkina Faso;1980;417
Burundi;1980;150
Cambodia;1980;51
Cameroon;1980;2607
Canada;1980;448224
Cape Verde;1980;228
Cayman Islands;1980;76
Central African Republic;1980;188
Chad;1980;191
Chile;1980;25926
China;1980;1618088
Colombia;1980;40267
Comoros;1980;37
Congo;1980;2283
Costa Rica;1980;2499
Croatia;1980;18798
Cuba;1980;32047
Cyprus;1980;3304
Czech Republic;1980;188010
Denmark;1980;65292
Djibouti;1980;1361
Dominica;1980;28
Dominican Republic;1980;6911
Ecuador;1980;12170
Egypt;1980;48229
El Salvador;1980;2080
Equatorial Guinea;1980;50
Eritrea;1980;181
Estonia;1980;51238
Ethiopia;1980;973
Fiji;1980;1227
Finland;1980;58271
France;1980;503871
French Guiana;1980;328
French Polynesia;1980;224
Gabon;1980;4511
Gambia;1980;150
Georgia;1980;43197
Germany;1980;1133413
Ghana;1980;2672
Greece;1980;53625
Greenland;1980;2
Grenada;1980;37
Guadeloupe;1980;451
Guam;1980;7
Guatemala;1980;4659
Guinea;1980;890
Guyana;1980;1326
Haiti;1980;859
Honduras;1980;1869
Hong Kong;1980;15738
Hungary;1980;92147
Iceland;1980;2448
India;1980;331064
Indonesia;1980;86470
Iran;1980;117642
Iraq;1980;58480
Ireland;1980;28035
Israel;1980;20306
Italy;1980;397238
Jamaica;1980;6756
Japan;1980;996709
Jordan;1980;4729
Kazakhstan;1980;130746
Kenya;1980;6329
Kiribati;1980;17
Kuwait;1980;36786
Kyrgyzstan;1980;11100
Latvia;1980;48815
Lebanon;1980;7519
Lesotho;1980;133
Liberia;1980;1838
Lithuania;1980;113167
Luxembourg;1980;13175
Madagascar;1980;1094
Malawi;1980;498
Malaysia;1980;27446
Mali;1980;396
Malta;1980;1037
Martinique;1980;665
Mauritania;1980;616
Mauritius;1980;675
Mexico;1980;237075
Mongolia;1980;9192
Montserrat;1980;14
Morocco;1980;15742
Mozambique;1980;2570
Namibia;1980;789
Nepal;1980;593
Netherlands;1980;156743
New Caledonia;1980;2107
New Zealand;1980;18027
Nicaragua;1980;1981
Niger;1980;532
Nigeria;1980;69846
Norway;1980;39970
Oman;1980;11731
Pakistan;1980;29224
Panama;1980;3181
Papua New Guinea;1980;1865
Paraguay;1980;1537
Peru;1980;22974
Philippines;1980;35756
Poland;1980;425183
Portugal;1980;28273
Puerto Rico;1980;671
Qatar;1980;11385
Reunion;1980;508
Romania;1980;197915
Russia;1980;2094575
Rwanda;1980;141
Samoa;1980;82
Saudi Arabia;1980;179665
Senegal;1980;2254
Seychelles;1980;207
Sierra Leone;1980;665
Singapore;1980;14020
Slovakia;1980;64805
Slovenia;1980;12255
Solomon Islands;1980;89
Somalia;1980;817
South Africa;1980;241394
Spain;1980;211229
Sri Lanka;1980;4215
Sudan;1980;3920
Suriname;1980;2139
Swaziland;1980;476
Sweden;1980;78383
Switzerland;1980;42878
Taiwan;1980;80943
Tajikistan;1980;2530
Tanzania;1980;1753
Thailand;1980;37817
Togo;1980;523
Tonga;1980;31
Tunisia;1980;9405
Turkey;1980;82018
Turkmenistan;1980;9342
Uganda;1980;632
Ukraine;1980;532978
United Arab Emirates;1980;40584
United Kingdom;1980;608681
United States;1980;4810436
Uruguay;1980;5752
Uzbekistan;1980;41918
Venezuela;1980;95648
Vietnam;1980;16485
Western Sahara;1980;148
Yemen;1980;3913
Zambia;1980;3675
Zimbabwe;1980;9564
Afghanistan;1981;2161
Albania;1981;6660
Algeria;1981;53079
American Samoa;1981;8
Angola;1981;10248
Argentina;1981;101103
Armenia;1981;12494
Aruba;1981;499
Australia;1981;220429
Austria;1981;58046
Azerbaijan;1981;43637
Bahamas;1981;5725
Bahrain;1981;8125
Bangladesh;1981;7150
Barbados;1981;949
Belarus;1981;113812
Belgium;1981;125859
Belize;1981;274
Benin;1981;463
Bhutan;1981;106
Bolivia;1981;5111
Botswana;1981;753
Brazil;1981;186665
Bulgaria;1981;89389
Burkina Faso;1981;390
Burundi;1981;152
Cambodia;1981;90
Cameroon;1981;2766
Canada;1981;430511
Cape Verde;1981;207
Cayman Islands;1981;171
Central African Republic;1981;206
Chad;1981;167
Chile;1981;24543
China;1981;1595330
Colombia;1981;40703
Comoros;1981;35
Congo;1981;2319
Costa Rica;1981;2309
Croatia;1981;32256
Cuba;1981;33498
Cyprus;1981;3163
Czech Republic;1981;188669
Denmark;1981;54829
Djibouti;1981;1050
Dominica;1981;54
Dominican Republic;1981;6570
Ecuador;1981;13563
Egypt;1981;53908
El Salvador;1981;2046
Equatorial Guinea;1981;47
Eritrea;1981;207
Estonia;1981;51454
Ethiopia;1981;1112
Fiji;1981;1048
Finland;1981;48823
France;1981;453740
French Guiana;1981;379
French Polynesia;1981;352
Gabon;1981;4837
Gambia;1981;131
Georgia;1981;43385
Germany;1981;1098330
Ghana;1981;3222
Greece;1981;53124
Greenland;1981;2
Grenada;1981;76
Guadeloupe;1981;785
Guam;1981;7
Guatemala;1981;4018
Guinea;1981;823
Guyana;1981;2723
Haiti;1981;753
Honduras;1981;1792
Hong Kong;1981;17224
Hungary;1981;91317
Iceland;1981;2354
India;1981;366428
Indonesia;1981;91795
Iran;1981;114367
Iraq;1981;45590
Ireland;1981;27742
Israel;1981;21158
Italy;1981;386508
Jamaica;1981;6729
Japan;1981;971840
Jordan;1981;5725
Kazakhstan;1981;115860
Kenya;1981;6292
Kiribati;1981;42
Kuwait;1981;35384
Kyrgyzstan;1981;9162
Latvia;1981;50052
Lebanon;1981;7678
Lesotho;1981;120
Liberia;1981;1560
Lithuania;1981;114251
Luxembourg;1981;11209
Madagascar;1981;870
Malawi;1981;484
Malaysia;1981;29040
Mali;1981;463
Malta;1981;1171
Martinique;1981;931
Mauritania;1981;543
Mauritius;1981;585
Mexico;1981;254912
Mongolia;1981;9059
Montserrat;1981;30
Morocco;1981;15872
Mozambique;1981;2274
Namibia;1981;1063
Nepal;1981;514
Netherlands;1981;155105
New Caledonia;1981;1931
New Zealand;1981;17564
Nicaragua;1981;2093
Niger;1981;494
Nigeria;1981;59778
Norway;1981;36569
Oman;1981;13120
Pakistan;1981;31568
Panama;1981;2809
Papua New Guinea;1981;2129
Paraguay;1981;1484
Peru;1981;23606
Philippines;1981;33278
Poland;1981;405337
Portugal;1981;29691
Puerto Rico;1981;640
Qatar;1981;11110
Reunion;1981;483
Romania;1981;198756
Russia;1981;2075777
Rwanda;1981;289
Samoa;1981;161
Saudi Arabia;1981;169467
Senegal;1981;2231
Seychelles;1981;160
Sierra Leone;1981;625
Singapore;1981;15148
Slovakia;1981;64123
Slovenia;1981;12216
Solomon Islands;1981;167
Somalia;1981;865
South Africa;1981;244286
Spain;1981;216535
Sri Lanka;1981;4335
Sudan;1981;3812
Suriname;1981;2539
Swaziland;1981;416
Sweden;1981;71002
Switzerland;1981;40479
Taiwan;1981;74293
Tajikistan;1981;2556
Tanzania;1981;1774
Thailand;1981;36903
Togo;1981;507
Tonga;1981;46
Tunisia;1981;9721
Turkey;1981;82145
Turkmenistan;1981;9739
Uganda;1981;372
Ukraine;1981;530514
United Arab Emirates;1981;38279
United Kingdom;1981;590331
United States;1981;4739990
Uruguay;1981;5186
Uzbekistan;1981;42976
Venezuela;1981;96499
Vietnam;1981;16899
Western Sahara;1981;139
Yemen;1981;3934
Zambia;1981;3366
Zimbabwe;1981;9159
Afghanistan;1982;1932
Albania;1982;6863
Algeria;1982;56398
American Samoa;1982;8
Angola;1982;9858
Argentina;1982;99076
Armenia;1982;13162
Aruba;1982;543
Australia;1982;226956
Austria;1982;55886
Azerbaijan;1982;44809
Bahamas;1982;4898
Bahrain;1982;8563
Bangladesh;1982;7795
Barbados;1982;947
Belarus;1982;111277
Belgium;1982;117495
Belize;1982;256
Benin;1982;536
Bhutan;1982;92
Bolivia;1982;5445
Botswana;1982;693
Brazil;1982;185802
Bulgaria;1982;90929
Burkina Faso;1982;392
Burundi;1982;149
Cambodia;1982;60
Cameroon;1982;2915
Canada;1982;411481
Cape Verde;1982;94
Cayman Islands;1982;169
Central African Republic;1982;213
Chad;1982;176
Chile;1982;20972
China;1982;1665938
Colombia;1982;41304
Comoros;1982;36
Congo;1982;2433
Costa Rica;1982;1961
Croatia;1982;30366
Cuba;1982;34560
Cyprus;1982;3194
Czech Republic;1982;190518
Denmark;1982;56854
Djibouti;1982;794
Dominica;1982;54
Dominican Republic;1982;6389
Ecuador;1982;13766
Egypt;1982;57980
El Salvador;1982;1913
Equatorial Guinea;1982;60
Eritrea;1982;176
Estonia;1982;51298
Ethiopia;1982;948
Fiji;1982;1054
Finland;1982;47098
France;1982;431805
French Guiana;1982;462
French Polynesia;1982;459
Gabon;1982;4875
Gambia;1982;135
Georgia;1982;42795
Germany;1982;1051237
Ghana;1982;2782
Greece;1982;54248
Greenland;1982;2
Grenada;1982;84
Guadeloupe;1982;954
Guam;1982;7
Guatemala;1982;3641
Guinea;1982;715
Guyana;1982;2176
Haiti;1982;886
Honduras;1982;1752
Hong Kong;1982;18496
Hungary;1982;90951
Iceland;1982;2000
India;1982;392336
Indonesia;1982;92858
Iran;1982;139966
Iraq;1982;51757
Ireland;1982;27386
Israel;1982;22341
Italy;1982;378500
Jamaica;1982;5788
Japan;1982;930892
Jordan;1982;6402
Kazakhstan;1982;117297
Kenya;1982;5767
Kiribati;1982;25
Kuwait;1982;36619
Kyrgyzstan;1982;7873
Latvia;1982;50433
Lebanon;1982;6399
Lesotho;1982;112
Liberia;1982;1394
Lithuania;1982;115295
Luxembourg;1982;10509
Madagascar;1982;739
Malawi;1982;435
Malaysia;1982;30624
Mali;1982;356
Malta;1982;1336
Martinique;1982;922
Mauritania;1982;484
Mauritius;1982;500
Mexico;1982;271433
Mongolia;1982;9419
Montserrat;1982;30
Morocco;1982;16568
Mozambique;1982;2117
Namibia;1982;1190
Nepal;1982;581
Netherlands;1982;144899
New Caledonia;1982;1477
New Zealand;1982;19287
Nicaragua;1982;2034
Niger;1982;517
Nigeria;1982;58648
Norway;1982;33135
Oman;1982;11471
Pakistan;1982;35403
Panama;1982;3138
Papua New Guinea;1982;2081
Paraguay;1982;1471
Peru;1982;23143
Philippines;1982;34282
Poland;1982;399235
Portugal;1982;30228
Puerto Rico;1982;543
Qatar;1982;11886
Reunion;1982;512
Romania;1982;197395
Russia;1982;2085835
Rwanda;1982;281
Samoa;1982;111
Saudi Arabia;1982;174545
Senegal;1982;2139
Seychelles;1982;143
Sierra Leone;1982;620
Singapore;1982;15808
Slovakia;1982;61746
Slovenia;1982;11439
Solomon Islands;1982;124
Somalia;1982;845
South Africa;1982;239616
Spain;1982;209614
Sri Lanka;1982;4863
Sudan;1982;3936
Suriname;1982;2262
Swaziland;1982;427
Sweden;1982;64896
Switzerland;1982;38263
Taiwan;1982;73113
Tajikistan;1982;2594
Tanzania;1982;1615
Thailand;1982;35719
Togo;1982;574
Tonga;1982;45
Tunisia;1982;9432
Turkey;1982;89001
Turkmenistan;1982;10185
Uganda;1982;436
Ukraine;1982;528283
United Arab Emirates;1982;38531
United Kingdom;1982;575403
United States;1982;4493226
Uruguay;1982;4804
Uzbekistan;1982;44571
Venezuela;1982;97684
Vietnam;1982;18260
Western Sahara;1982;143
Yemen;1982;4422
Zambia;1982;3260
Zimbabwe;1982;8772
Afghanistan;1983;2172
Albania;1983;7382
Algeria;1983;59715
American Samoa;1983;8
Angola;1983;10051
Argentina;1983;101214
Armenia;1983;13298
Aruba;1983;510
Australia;1983;213215
Austria;1983;55889
Azerbaijan;1983;46126
Bahamas;1983;4316
Bahrain;1983;8896
Bangladesh;1983;7357
Barbados;1983;1117
Belarus;1983;109667
Belgium;1983;107993
Belize;1983;305
Benin;1983;534
Bhutan;1983;93
Bolivia;1983;5541
Botswana;1983;699
Brazil;1983;175769
Bulgaria;1983;89680
Burkina Faso;1983;394
Burundi;1983;166
Cambodia;1983;455
Cameroon;1983;7673
Canada;1983;404126
Cape Verde;1983;95
Cayman Islands;1983;209
Central African Republic;1983;226
Chad;1983;178
Chile;1983;21548
China;1983;1754605
Colombia;1983;43319
Comoros;1983;36
Congo;1983;2430
Costa Rica;1983;1995
Croatia;1983;33207
Cuba;1983;32474
Cyprus;1983;3181
Czech Republic;1983;190946
Denmark;1983;53134
Djibouti;1983;646
Dominica;1983;62
Dominican Republic;1983;7379
Ecuador;1983;12946
Egypt;1983;63907
El Salvador;1983;1963
Equatorial Guinea;1983;61
Eritrea;1983;181
Estonia;1983;50187
Ethiopia;1983;989
Fiji;1983;1052
Finland;1983;45472
France;1983;416576
French Guiana;1983;545
French Polynesia;1983;611
Gabon;1983;4556
Gambia;1983;136
Georgia;1983;41376
Germany;1983;1054927
Ghana;1983;1755
Greece;1983;57752
Greenland;1983;2
Grenada;1983;98
Guadeloupe;1983;1137
Guam;1983;7
Guatemala;1983;3102
Guinea;1983;760
Guyana;1983;2374
Haiti;1983;980
Honduras;1983;2026
Hong Kong;1983;21023
Hungary;1983;87048
Iceland;1983;2040
India;1983;417765
Indonesia;1983;92204
Iran;1983;158384
Iraq;1983;51038
Ireland;1983;26941
Israel;1983;23090
Italy;1983;375416
Jamaica;1983;5785
Japan;1983;933296
Jordan;1983;7161
Kazakhstan;1983;119478
Kenya;1983;5355
Kiribati;1983;27
Kuwait;1983;41888
Kyrgyzstan;1983;6373
Latvia;1983;51864
Lebanon;1983;7452
Lesotho;1983;114
Liberia;1983;1453
Lithuania;1983;117245
Luxembourg;1983;9863
Madagascar;1983;991
Malawi;1983;377
Malaysia;1983;34038
Mali;1983;356
Malta;1983;992
Martinique;1983;1048
Mauritania;1983;499
Mauritius;1983;588
Mexico;1983;256325
Mongolia;1983;9620
Montserrat;1983;37
Morocco;1983;17439
Mozambique;1983;1947
Namibia;1983;1200
Nepal;1983;808
Netherlands;1983;141004
New Caledonia;1983;1354
New Zealand;1983;19414
Nicaragua;1983;2198
Niger;1983;517
Nigeria;1983;59013
Norway;1983;33237
Oman;1983;13015
Pakistan;1983;37264
Panama;1983;3521
Papua New Guinea;1983;2150
Paraguay;1983;1430
Peru;1983;19716
Philippines;1983;35779
Poland;1983;388247
Portugal;1983;30789
Puerto Rico;1983;449
Qatar;1983;11565
Reunion;1983;597
Romania;1983;199382
Russia;1983;2092082
Rwanda;1983;320
Samoa;1983;113
Saudi Arabia;1983;175525
Senegal;1983;2137
Seychelles;1983;243
Sierra Leone;1983;616
Singapore;1983;17007
Slovakia;1983;61186
Slovenia;1983;13162
Solomon Islands;1983;136
Somalia;1983;841
South Africa;1983;229915
Spain;1983;212872
Sri Lanka;1983;4963
Sudan;1983;3987
Suriname;1983;1889
Swaziland;1983;372
Sweden;1983;59221
Switzerland;1983;42420
Taiwan;1983;78215
Tajikistan;1983;2672
Tanzania;1983;1580
Thailand;1983;39150
Togo;1983;418
Tonga;1983;40
Tunisia;1983;10997
Turkey;1983;93904
Turkmenistan;1983;10639
Uganda;1983;430
Ukraine;1983;530138
United Arab Emirates;1983;37346
United Kingdom;1983;564234
United States;1983;4474504
Uruguay;1983;3840
Uzbekistan;1983;45489
Venezuela;1983;96504
Vietnam;1983;19702
Western Sahara;1983;146
Yemen;1983;4875
Zambia;1983;3195
Zimbabwe;1983;8704
Afghanistan;1984;2050
Albania;1984;7996
Algeria;1984;61508
American Samoa;1984;9
Angola;1984;10015
Argentina;1984;99946
Armenia;1984;13453
Aruba;1984;550
Australia;1984;219989
Austria;1984;57720
Azerbaijan;1984;46922
Bahamas;1984;4074
Bahrain;1984;9156
Bangladesh;1984;7530
Barbados;1984;1167
Belarus;1984;106652
Belgium;1984;110742
Belize;1984;317
Benin;1984;546
Bhutan;1984;91
Bolivia;1984;5117
Botswana;1984;698
Brazil;1984;178479
Bulgaria;1984;87834
Burkina Faso;1984;381
Burundi;1984;189
Cambodia;1984;441
Cameroon;1984;7857
